,vote_average,runtime,original_language,genres,year,season,rating,revenue_adj,budget_adj
96,8.4,124,en,"Adventure, Action, Science Fiction",1980,Spring,PG,2175744987,72740359.9
97,7.73,90,en,"Animation, Comedy, Fantasy, Adventure, Family",2001,Spring,PG,875962785.9,107732724.2
98,7.809,111,en,"Animation, Comedy, Family, Fantasy",2007,Summer,G,968794237.6,232985534.7
99,7.636,129,en,"Crime, Comedy, Action, Adventure",2014,Winter,R,556918406.9,108869850.7
100,7.897,129,en,"Comedy, Drama, Romance, Music",2016,Fall,PG-13,593733556.7,39811578.79
101,7.2,102,en,"Animation, Family, Adventure, Fantasy",2013,Fall,PG,1739684108,204794163.6
102,7.456,107,en,"War, Action, Drama",2017,Summer,PG-13,682298971.7,194202743.4
103,7.748,109,en,"Animation, Adventure, Family, Comedy",2016,Winter,PG,1358615505,199057893.9
104,6.44,89,en,"Action, Science Fiction",2014,Summer,R,616745822.6,53762889.24
105,7.941,127,en,"Adventure, Science Fiction",1993,Summer,PG-13,2028607574,138900420.8
106,8.3,119,en,"Crime, Drama, Thriller",1991,Winter,R,637075592,44380386.33
107,8.539,125,ja,"Animation, Family, Fantasy",2001,Summer,PG,493640490.4,34115362.65
108,6.967,129,en,"Family, Fantasy, Romance",2017,Spring,PG,1639221291,207149592.9
109,7.346,151,en,"Adventure, Fantasy, Action",2006,Summer,PG-13,1689578643,317095310.1
110,7.738,102,en,"Adventure, Family, Animation, Action, Comedy",2014,Fall,PG,884168116.4,221771918.1
111,7.345,116,en,"Thriller, Crime",2013,Spring,PG-13,480206801,102397081.8
112,6.796,123,en,"Science Fiction, Adventure, Thriller",2014,Fall,PG-13,1015253980,168009028.9
113,6.826,112,en,"Science Fiction, Action",2018,Fall,PG-13,1085877392,147136972.7
114,8.203,130,en,"Drama, Mystery, Science Fiction",2006,Fall,PG-13,173889219.3,63419062.03
115,7.201,101,en,"Drama, Science Fiction, Thriller",2007,Winter,PG-13,909280493.4,232985534.7
116,8.209,169,en,"Drama, History, War",1998,Summer,R,937442956.6,136188118.8
117,6.843,124,en,"Action, Adventure, Science Fiction",2019,Spring,PG-13,1413191785,189855072.5
118,7.5,113,en,"Action, Crime",2017,Summer,R,293822389.9,44019288.5
119,8.573,195,en,"Drama, History, War",1993,Winter,R,708536705.9,48504908.84
120,7.892,132,en,"Adventure, Action, Science Fiction",1983,Spring,PG,1841072393,103996319
121,7.447,129,en,"Action, Adventure, Science Fiction",2019,Summer,PG-13,1413830735,199847444.7
